name,population
California,"39,356,104"
93234,"6,571"
93235,"4,360"
93237,98
93238,866
93239,"1,404"
93240,"5,470"
93241,"15,978"
93242,"2,683"
93243,977
93244,121
93245,"37,439"
93246,"1,129"
93247,"17,827"
93249,"1,996"
93250,"15,126"
93251,293
93252,"1,680"
93254,869
93255,872
93256,"5,575"
93257,"79,217"
93258,"1,086"
93260,178
93261,"1,889"
93262,18
93263,"22,952"
93265,"3,194"
93266,"1,720"
93267,"5,811"
93268,"17,124"
93270,"5,711"
93271,"2,398"
93272,"4,548"
93274,"78,831"
93276,150
93277,"54,127"
93280,"27,356"
93283,"2,416"
93285,"2,465"
93286,"10,418"
93287,119
93291,"61,439"
93292,"44,759"
93301,"13,672"
93304,"50,158"
93305,"36,783"
93306,"74,769"
93307,"89,651"
93308,"55,150"
93309,"62,828"
93311,"50,535"
93312,"59,616"
93313,"59,924"
93314,"34,156"
93401,"28,773"
93402,"15,572"
93405,"24,991"
93407,309
93408,11
93409,"2,591"
93410,"6,523"
93420,"32,126"
93422,"33,781"
93424,"1,174"
93426,"1,566"
93427,"5,980"
93428,"6,056"
93429,64
93430,"2,941"
93432,"1,434"
93433,"12,755"
93434,"8,272"
93436,"55,591"
93437,"3,681"
93440,846
93441,"1,085"
93442,"11,399"
93444,"22,079"
93445,"6,912"
93446,"45,720"
93449,"8,050"
93450,830
93451,"4,751"
93452,307
93453,"2,096"
93454,"41,110"
93455,"44,186"
93458,"59,789"
93460,"6,280"
93461,"1,369"
93463,"8,059"
93465,"9,829"
93501,"5,404"
93505,"14,952"
93510,"7,397"
93512,313
93513,"1,649"
93514,"14,692"
93516,"2,583"
93517,587
93518,894
93519,0
93522,86
93523,"3,867"
93524,93
93526,855
93527,"1,734"
93528,94
93529,302
93530,28
93531,425
93532,"2,768"
93534,"42,515"
93535,"80,905"
93536,"72,131"
93541,817
93543,"12,745"
93544,"1,427"
93545,"1,342"
93546,"8,689"
93549,254
93550,"81,501"
93551,"54,478"
93552,"43,371"
93553,"1,136"
93554,65
93555,"33,490"
93558,17
93560,"21,300"
93561,"31,060"
93562,"1,867"
93563,222
93581,"3,611"
93591,"7,340"
93601,"1,206"
93602,"3,038"
93603,249
93604,366
93605,97
93606,"1,129"
93608,"1,018"
93609,"4,889"
93610,"23,795"
93611,"46,620"
93612,"37,138"
93614,"11,760"
93615,"5,767"
93616,"2,163"
93618,"32,334"
93619,"50,848"
93620,"9,363"
93621,173
93622,"9,419"
93623,4
93624,892
93625,"8,396"
93626,"2,583"
93627,196
93628,310
93630,"20,272"
93631,"16,588"
93633,26
93634,29
93635,"47,683"
93636,"13,447"
93637,"41,324"
93638,"51,724"
93640,"14,162"
93641,216
93643,"3,115"
93644,"7,169"
93645,897
93646,"10,157"
93647,"11,828"
93648,"15,370"
93650,"2,844"
93651,"1,580"
93652,378
93653,"1,378"
93654,"30,476"
93656,"6,249"
93657,"36,053"
93660,"3,921"
93662,"30,191"
93664,288
93665,386
93666,704
93667,"1,909"
93668,"1,025"
93669,324
93670,108
93673,378
93675,"4,891"
93701,"10,602"
93702,"45,248"
93703,"32,603"
93704,"29,502"
93705,"38,777"
93706,"41,523"
93710,"32,730"
93711,"39,963"
93720,"48,597"
93721,"8,004"
93722,"86,387"
93723,"13,174"
93725,"26,568"
93726,"44,790"
93727,"82,176"
93728,"17,892"
93730,"12,461"
93737,"6,624"
93740,"1,174"
93741,77
93901,"29,498"
93905,"63,121"
93906,"66,883"
93907,"25,124"
